route,headway
8194-10-0,865.263158
6805-10-0,1001.052632
5370-10-0,492.631579
6041-10-0,385.26315800000003
5012-10-0,416.842105
6056-10-0,318.94736800000004
2203-10-0,952.9411759999999
2523-10-0,1168.421053
8544-10-0,2210.526316
478P-10-0,1010.5263160000001
8542-10-0,1061.0526320000001
5108-10-0,577.894737
2100-10-0,429.473684
106A-10-0,470.526316
2088-10-0,1500.0
6L03-10-0,3200.0
5107-10-0,666.315789
6015-10-0,641.052632
737A-10-0,555.789474
9018-10-0,675.789474
5759-10-0,887.3684210000001
9008-10-0,461.052632
271P-10-0,1042.1052630000001
172K-10-0,742.105263
1759-10-0,710.5263160000001
1758-10-0,770.5263160000001
2011-10-0,628.421053
2769-10-0,1357.8947369999999
3901-10-0,1383.333333
809U-10-0,1093.333333
179X-10-0,874.736842
1178-10-0,836.842105
5024-10-0,612.631579
7458-10-0,1010.5263160000001
3024-10-0,1231.578947
6825-10-0,761.052632
