,linhas,date,mean_geral,mean_25_perc,mean_50_perc,mean_75_perc,median_geral,median_25_perc,median_50_perc,median_75_perc,std_geral,std_25_perc,std_50_perc,std_75_perc,perc95_geral,perc95_25_perc,perc95_50_perc,perc95_75_perc,cv_geral,cv_25_perc,cv_50_perc,cv_75_perc,trips_geral,trips_25_perc,trips_50_perc,trips_75_perc,ltt_mean,rbt_mean,ltt_mean_25_perc,rbt_mean_25_perc,ltt_mean_50_perc,rbt_mean_50_perc,ltt_mean_75_perc,rbt_mean_75_perc,ltt_median,rbt_median,ltt_median_25_perc,rbt_median_25_perc,ltt_median_50_perc,rbt_median_50_perc,ltt_median_75_perc,rbt_median_75_perc,ltt_cv,ltt_cv_25_perc,ltt_cv_50_perc,ltt_cv_75_perc,ltt_std,ltt_std_25_perc,ltt_std_50_perc,ltt_std_75_perc
0,106A-10-0,2017-03-02,18416.4095,18365.1875,18400.644500000002,18387.4815,18416.4095,18365.1875,18400.644500000002,18387.4815,14559.315189602172,14410.01949224957,14540.312401964564,14509.229402077166,27681.900950000003,27535.66775,27654.042649999996,27621.09855,0.790562090270754,0.7846377551141022,0.7902066909647953,0.7890819306644667,2,2,2,2,2935.98166343121,14.499897169488122,2146.406651393249,32.01530189174264,1545.7752144171461,7.603629067205702,481.9534572288044,42.33473936411258,2935.98166343121,14.499897169488122,2146.406651393249,32.01530189174264,1545.7752144171461,7.603629067205702,481.9534572288044,42.33473936411258,0.005487431020314342,0.01657307464752844,0.005465527369401651,0.09759987938239266,22.78439025567222,50.307193487523904,11.947950388996139,66.52262507584243
1,106A-10-0,2017-03-06,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2,106A-10-0,2017-03-08,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3,106A-10-0,2017-03-13,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4,106A-10-0,2017-03-14,11266.119,10488.33,10169.921,10013.124,11266.119,10488.33,10169.921,10013.124,,,,,11266.119,10488.33,10169.921,10013.124,,,,,1,1,1,1,4006.956248723019,0.0,2809.572535423919,0.0,2182.924654948213,0.0,486.54319883416383,0.0,4006.956248723019,0.0,2809.572535423919,0.0,2182.924654948213,0.0,486.54319883416383,0.0,0.0,0.0,0.0,0.0,,,,
5,106A-10-0,2017-03-16,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6,106A-10-0,2017-03-17,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7,106A-10-0,2017-03-20,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,106A-10-0,2017-03-22,11845.467,11902.391000000001,12009.743,11679.926000000001,11845.467,11902.391000000001,12009.743,11679.926000000001,,,,,11845.467,11902.391000000001,12009.743,11679.926000000001,,,,,1,1,1,1,4005.7943707260197,0.0,3093.369934690264,0.0,2502.7146012379344,0.0,792.2418621820862,0.0,4005.7943707260197,0.0,3093.369934690264,0.0,2502.7146012379344,0.0,792.2418621820862,0.0,0.0,0.0,0.0,0.0,,,,
9,106A-10-0,2017-03-27,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
10,106A-10-0,2017-03-28,14626.974,14631.111,14720.515000000001,14641.135,14626.974,14631.111,14720.515000000001,14641.135,,,,,14626.974,14631.111,14720.515000000001,14641.135,,,,,1,1,1,1,3110.12124503803,0.0,2391.112670615989,0.0,1864.1736316068645,0.0,533.859902531557,0.0,3110.12124503803,0.0,2391.112670615989,0.0,1864.1736316068645,0.0,533.859902531557,0.0,0.0,0.0,0.0,0.0,,,,
11,106A-10-0,2017-03-29,16253.99,16064.251666666669,15918.532666666668,15893.098000000004,10803.434000000001,10756.289,10533.904,10332.141000000001,16773.79473898581,15926.343787033305,15609.92041456203,15482.243954175667,32648.016200000002,31645.7129,31210.553499999998,31082.1828,1.031980131585279,0.9914152316276567,0.9806130214029795,0.9741489012510753,3,3,3,3,3689.4882068501724,1113.718048838046,2558.178814757939,448.5789800027128,1854.9635693183607,407.56781050059203,658.7249101901704,242.48402399578072,3730.7740509407226,1072.4322047474957,2935.4403945368085,71.31740022384338,1969.5712313866711,292.9601484322816,710.9377123055383,190.27122188041278,0.2775211860761695,0.2308077803639616,0.2232659551192165,0.3634728030703208,1254.0299213693013,723.1476380923814,507.22834937611844,293.23893712698856
