,route,ewt_mean,ewt_perc_25,ewt_perc_50,ewt_perc_75,rbt_geral,rbt_perc_25,rbt_perc_50,rbt_perc_75
0,1018-10-0,1.0052262898184388,0.999810098341004,0.9953884574675296,0.9896971361113975,0.21296828766051243,0.2414589194423818,0.271237704681888,0.3591824912325592
1,1026-10-0,0.8671052874944308,0.8613225514575705,0.8589294819747193,0.8573744148864642,0.2161989811140879,0.2613283825792544,0.3503448640188513,0.47441785256979196
2,106A-10-0,0.9538160311898249,0.9300888906808855,0.9320290279122861,0.9505285153293062,0.1057313269993985,0.04138823035517182,0.08395242797813102,0.10754588824294437
3,107T-10-0,0.9427287645503173,1.113200231019493,1.1431649861397495,1.1636891780441065,0.271465451074028,0.30523769500050896,0.46960414666907846,1.010445391297557
4,1177-10-0,0.6957792154305267,0.719672862802776,0.7452189191105777,0.7694806781092669,0.2635085076129065,0.3435073238994886,0.4923238218505559,0.5861248406377416
5,1178-10-0,1.0362487320920308,1.170093684346563,1.1578681202503407,1.1415537177053765,0.18220241503988394,0.252413108081582,0.35252614854422776,0.5122689820272278
6,148L-10-0,0.9378685699495494,1.2427567831316773,1.3003148187154623,1.353859514974006,0.25428532415469907,0.301190269464091,0.37119872349752603,0.5617408303392801
7,1709-10-0,0.8774639977485459,0.8853864518512012,0.8785908407904651,0.8932082898733718,0.33251892470409056,0.3933625093819738,0.50986548804499,0.6373023228142758
8,1720-10-0,1.0180826321164063,0.9972611367370249,1.0460155836328868,1.0907370935015774,0.22808791878227425,0.2644462870246566,0.32054467095766376,0.3675924487651094
9,172K-10-0,0.7468559238183486,0.8055715218086211,1.0009839811409207,1.0490175166050315,0.2510730956811419,0.27572899010230906,0.35817554903712007,0.4356850557527107
10,172R-10-0,0.8043095084994186,0.8461173873290515,0.8516531000463285,0.8972395633034157,0.15951746074492645,0.21028331971350517,0.2554988281954983,0.35460829827799345
11,172U-10-0,0.823892183501689,0.8745380734067217,0.9076782132301069,0.9974415043388164,0.1843664313103188,0.20950039007770638,0.27004500002916626,0.4132513945734607
