,route,variation_0_1_degree,variation_1_5_degree,variation_5_10_degree,variation_10_30_degree,variation_30_50_degree,variation_50_90_degree,variation_90_degree
230,8043-10-0,118,168,98,117,12,16,19
231,807J-10-0,53,117,71,66,7,10,9
232,807M-10-0,71,130,67,87,11,16,21
233,809P-10-0,66,115,66,44,5,5,9
234,809T-10-0,108,172,83,101,15,10,12
235,809U-10-0,64,106,57,89,10,20,18
236,8194-10-0,115,277,183,164,16,15,23
237,8300-10-0,69,106,46,34,6,5,6
238,847J-10-0,153,297,187,196,23,8,10
239,8542-10-0,137,214,118,111,26,12,21
240,8544-10-0,175,322,218,242,21,10,13
241,8549-10-0,154,263,161,112,20,14,9
242,857A-10-0,89,145,102,51,7,8,8
243,857C-10-0,89,172,125,84,17,6,14
244,857P-10-0,81,162,67,37,6,6,5
245,8594-10-0,143,257,156,172,23,10,13
246,8605-10-0,67,158,78,48,3,7,3
247,8622-10-0,127,224,120,90,14,6,13
248,875A-10-0,100,112,53,50,10,9,38
249,875H-10-0,83,75,23,21,2,12,7
250,875P-10-0,54,66,29,27,6,5,3
251,888P-10-0,88,264,162,153,28,16,28
252,9004-10-0,36,66,62,37,4,5,6
253,9005-10-0,55,104,80,71,3,7,9
254,9006-10-0,19,62,49,37,9,5,6
255,9008-10-0,52,133,100,73,6,1,2
256,9012-10-0,66,121,57,76,15,11,4
257,9018-10-0,31,41,21,24,2,3,2
258,9020-10-0,43,69,43,44,8,6,10
259,9023-10-0,65,200,155,188,15,7,9
260,9051-10-0,24,46,39,56,6,9,5
261,9191-10-0,116,220,112,140,16,27,16
262,930P-10-0,55,69,32,42,9,6,14
263,938L-10-0,61,87,39,17,3,6,1
264,948A-10-0,132,183,97,106,9,9,11
265,9717-10-0,108,182,126,105,12,15,16
266,9784-10-0,101,169,109,108,8,11,4
267,9785-10-0,94,173,104,127,19,21,10
268,9789-10-0,95,159,88,95,15,17,15
