route,headway_scheduled,distance,route_type,num_trips_day,capacity,origin,destination,line
875P-10-0,983.333333,10.109488484775339,0,81,85,8,9,875P10
695H-10-0,963.157895,21.27113597649745,0,91,86,6,7,695H10
476A-10-0,997.894737,23.67046027734959,0,66,100,5,7,476A10
857C-10-0,947.368421,20.436462384069973,3,84,86,7,6,857C10
857A-10-0,991.578947,20.5149626938754,3,78,86,7,9,857A10
9004-10-0,378.947368,3.245098469870547,2,271,35,1,2,900410
364A-10-0,748.421053,23.04345662041153,0,126,55,5,4,364A10
8622-10-0,678.947368,27.583798907223372,4,106,123,1,9,862210
709P-10-0,855.789474,14.778823414041064,0,69,86,7,9,709P10
2031-10-0,770.5263160000003,18.10246892524549,1,88,75,3,3,203110
2021-10-0,423.157895,4.396959507974992,2,172,35,3,4,202110
3686-10-0,783.157895,29.955847794870053,4,96,120,3,9,368610
407G-10-0,426.315789,22.5952545422338,4,167,75,4,4,407G10
407J-10-0,701.052632,28.176946370911146,2,126,88,4,4,407J10
6960-10-0,467.368421,15.850511620885422,3,151,194,6,7,696010
172X-10-0,360.0,7.663637864933202,0,194,51,2,4,172X10
3721-10-0,360.0,7.277488618310068,4,190,53,4,4,372110
4314-10-0,862.105263,31.660892411238237,4,89,86,3,9,431410
574R-10-0,514.736842,15.323422450732114,2,140,75,5,9,574R10
6001-10-0,963.157895,7.1648840759386525,3,79,171,7,7,600110
6043-10-0,637.894737,7.903104195055993,0,107,35,7,7,604310
675G-10-0,909.473684,24.840444473288716,0,78,96,6,6,675G10
177Y-10-0,442.105263,6.9936174142019745,0,149,171,2,9,177Y10
2765-10-0,337.894737,13.47400240437049,2,201,86,3,3,276510
9012-10-0,1721.052632,9.248743326426206,2,47,75,1,9,901210
736G-10-0,827.368421,9.674539109179983,2,92,37,8,8,736G10
6003-10-0,540.0,6.758014599707407,3,160,120,6,6,600310
2016-10-0,622.105263,8.806447846425494,2,94,35,3,3,201610
1018-10-0,625.263158,10.517571907737146,2,123,35,2,2,101810
6022-10-0,1089.473684,15.388224719351747,0,58,35,7,6,602210
607G-10-0,1240.0,13.448035087147472,0,52,86,6,7,607G10
574C-10-0,1168.421053,15.888124457175063,2,78,75,5,5,574C10
1787-10-0,704.210526,7.387204694359827,2,105,35,2,2,178710
9785-10-0,527.368421,14.412347054477134,0,130,35,1,9,978510
9020-10-0,609.4736839999998,4.189987872402178,2,131,35,1,1,902010
875A-10-0,1133.684211,25.131914251000207,0,102,86,6,9,875A10
407W-10-0,1127.368421,14.516627635752974,4,65,75,4,4,407W10
5142-10-0,742.105263,22.752862447328788,3,81,120,5,9,514210
8300-10-0,893.6842109999999,7.031593029094387,2,70,86,1,4,830010
7600-10-0,1433.684211,16.488369948692515,2,50,86,7,9,760010
2715-10-0,508.421053,5.6853753329995,2,161,35,4,4,271510
3778-10-0,454.736842,12.844985013599965,1,119,37,4,4,377810
807J-10-0,1115.294118,14.514738307786436,0,75,75,8,8,807J10
577T-10-0,824.210526,20.40926914303563,2,74,90,6,9,577T10
3738-10-0,382.105263,12.7751686320119,4,179,47,4,4,373810
2731-10-0,378.947368,7.103017054040527,0,140,43,3,4,273110
208V-10-0,685.263158,18.554315266626624,3,126,171,3,9,208V10
273V-10-0,1831.578947,16.43331846025261,2,52,75,3,3,273V10
5029-10-0,590.5263160000002,5.7875894041341365,2,141,86,5,5,502910
5018-10-0,808.421053,13.531530137512169,2,83,39,6,6,501810
3027-10-0,858.947368,20.096535875447266,4,92,35,4,4,302710
2007-10-0,372.631579,7.196777630819894,2,182,49,3,3,200710
6837-10-0,694.736842,10.642195711347533,2,119,39,8,7,683710
2708-10-0,581.052632,8.893975184863633,0,162,40,3,4,270810
175P-10-0,710.5263160000003,19.89496688067226,0,74,86,2,9,175P10
2008-10-0,318.9473680000001,3.3639445805140937,2,220,35,3,3,200810
6836-10-0,941.052632,9.177784946110874,2,80,86,7,7,683610
9023-10-0,457.894737,11.002354471875488,2,153,35,1,1,902310
8594-10-0,685.263158,23.16529483158107,4,103,86,1,9,859410
2718-10-0,366.315789,9.411825571354402,2,207,55,4,3,271810
938L-10-0,625.263158,7.343944644835893,3,129,91,1,9,938L10
5391-10-0,587.368421,24.85174845192656,3,130,120,7,9,539110
5015-10-0,694.736842,10.567428940780113,2,104,38,6,6,501510
5290-10-0,918.947368,17.404321157106853,4,91,102,6,9,529010
6036-10-0,590.5263160000002,14.1080891390871,0,82,55,7,6,603610
2719-10-0,262.105263,9.703363022415543,2,241,55,4,4,271910
6074-10-0,615.789474,16.215789248779824,2,120,55,6,6,607410
1026-10-0,1051.578947,4.603583491111655,2,76,35,1,1,102610
5143-10-0,1253.684211,18.058867930279806,3,64,120,5,9,514310
7545-10-0,678.947368,19.11880719209672,4,133,86,8,9,754510
6048-10-0,596.842105,10.17487996077227,2,125,171,7,7,604810
6052-10-0,492.631579,5.555051125276874,1,103,49,6,6,605210
2726-10-0,571.578947,13.17588964760032,2,123,37,3,3,272610
3729-10-0,388.421053,13.664940404656056,4,188,37,4,4,372910
2711-10-0,691.578947,4.682196722426231,2,130,35,4,4,271110
7013-10-0,1061.052632,15.946741521413673,2,76,40,8,9,701310
5123-10-0,593.684211,14.349516433813687,2,151,55,6,6,512310
1756-10-0,1054.736842,9.4047782047471,2,76,75,2,2,175610
2363-10-0,890.5263160000003,16.623421605496194,4,159,106,3,9,236310
6034-10-0,524.210526,7.449054214643143,1,117,45,6,6,603410
1780-10-0,776.842105,6.943564770720234,2,124,35,2,2,178010
8006-10-0,827.368421,12.586323183068151,2,85,75,1,1,800610
3160-10-0,511.578947,8.484084290626084,3,179,70,4,9,316010
5021-10-0,824.210526,7.059325662099558,2,89,75,5,5,502110
6835-10-0,1117.894737,6.8256936777312935,2,68,86,7,7,683510
1720-10-0,423.157895,15.49893151101399,2,173,43,2,2,172010
3795-10-0,821.052632,14.6409662226006,2,96,52,3,4,379510
8605-10-0,666.315789,17.495093427039418,3,105,120,7,9,860510
6037-10-0,764.210526,12.119421783891593,0,100,55,7,6,603710
9191-10-0,363.157895,18.67515636384705,4,184,36,1,9,919110
407L-10-0,666.315789,25.31665613648698,2,117,88,4,4,407L10
2451-10-0,1531.578947,10.60046436035401,1,49,75,3,4,245110
2026-10-0,2052.631579,10.200116853632304,2,41,35,2,2,202610
1772-10-0,615.789474,10.17588349919005,2,127,75,2,2,177210
5701-10-0,673.333333,11.57694420296198,2,116,38,6,8,570110
709G-10-0,1364.210526,15.442797154433286,2,56,86,7,7,709G10
9784-10-0,527.368421,12.252521456587367,2,133,75,1,9,978410
6450-10-0,464.210526,20.126231250792454,3,170,196,7,9,645010
4017-10-0,735.789474,10.879801156739497,2,101,75,4,4,401710
888P-10-0,1064.210526,18.751880905756305,2,80,75,1,1,888P10
5128-10-0,420.0,16.06472493091432,2,100,55,6,6,512810
342C-10-0,950.526316,17.27042899375774,0,76,35,4,3,342C10
148L-10-0,476.842105,16.36102320610206,0,153,86,2,9,148L10
847J-10-0,1632.631579,24.41939480455855,2,46,86,1,8,847J10
6031-10-0,420.0,4.613215785043176,1,178,75,6,6,603110
6092-10-0,1278.947368,7.8242359621490545,1,61,75,6,6,609210
2029-10-0,763.333333,15.919155003983484,2,87,75,2,2,202910
1788-10-0,1035.789474,13.25435171654572,2,77,70,2,2,178810
3731-10-0,388.421053,8.66189413655686,4,172,35,4,4,373110
675R-10-0,1348.421053,23.30085959569063,0,52,78,6,6,675R10
172R-10-0,258.94736800000004,13.932947282954045,0,221,57,2,9,172R10
3734-10-0,290.526316,6.261461328574415,4,240,35,4,4,373410
948A-10-0,1300.0,14.574537670002108,0,49,79,1,9,948A10
6840-10-0,410.526316,13.843985404975582,1,150,171,7,7,684010
5144-10-0,1102.105263,22.2662020154173,3,67,117,5,9,514410
3029-10-0,454.736842,13.092317746288295,2,167,42,4,4,302910
8549-10-0,906.315789,25.06629979557793,4,78,86,1,9,854910
374V-10-0,457.894737,5.9245154684062005,0,138,47,4,4,374V10
576M-10-0,985.263158,23.006033108456077,0,80,86,6,9,576M10
