route,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
407E-10-0,,1,1,,1,1,,4,2,2,2,
4114-10-0,,1,1,2,1,1,1,2,2,2,,1
4284-10-0,3,1,1,1,,2,1,1,1,1,1,1
5010-10-0,,1,3,,,3,2,2,1,1,,1
5013-10-0,2,,1,,2,1,1,,2,4,,1
507T-10-0,2,,1,,1,4,,,1,2,2,1
574W-10-0,2,1,1,2,2,2,1,1,,1,,1
5757-10-0,1,1,1,1,1,,1,2,1,1,1,3
575A-10-0,2,2,1,,1,2,,1,1,3,1,
647C-10-0,,3,,2,,3,,5,,,,1
7002-10-0,2,1,2,,1,,1,1,1,2,2,1
8009-31-0,1,,1,1,2,3,,,1,,2,3
807J-10-0,2,2,3,,1,1,,2,1,,2,
809A-10-0,3,2,2,1,,2,1,,,,1,2
9162-10-0,2,3,,,,,2,2,3,1,1,
9701-10-0,1,2,,3,2,2,1,,2,,,1
N204-11-0,3,2,2,1,2,2,,,,1,1,
N207-11-0,2,1,1,1,2,,3,3,1,,,
N339-11-0,,2,2,,4,1,1,1,2,,1,
N704-11-0,2,4,,,2,2,1,,1,,2,
174M-10-0,1,2,1,,,2,1,3,1,1,1,
1786-10-0,1,2,1,,1,5,,1,,,2,
189L-10-0,1,5,1,,1,4,,,,1,,
2725-10-0,2,1,2,,1,2,,,1,,2,2
372U-10-0,1,,1,1,,2,,,2,1,3,2
4018-10-0,,2,1,1,,1,,1,1,4,1,1
4111-10-0,3,1,1,1,1,2,,2,2,,,
5031-10-0,,,1,2,3,1,,2,,3,1,
5033-10-0,2,,3,1,1,2,1,,1,1,1,
5362-41-0,2,,,,2,1,2,1,1,1,2,1
5705-10-0,1,1,4,1,1,1,1,,,2,,1
637A-25-0,1,3,,,3,,,,2,2,1,1
6821-10-0,3,,,,2,1,2,1,1,2,1,
695X-22-0,,2,1,2,,1,2,2,,,3,
7014-10-0,,,,2,2,1,2,1,,1,2,2
7282-10-0,1,1,4,,2,,1,1,1,1,1,
8008-10-0,1,,6,1,2,1,,,,,,2
8014-10-0,2,1,,1,4,3,1,,,,1,
819A-10-0,1,,,1,3,4,,,2,,1,1
875P-10-0,2,1,2,,2,,,,1,,4,1
9181-10-0,,1,1,2,3,4,,,,1,1,
971D-10-0,1,2,1,2,3,1,,,1,1,1,
971M-10-0,1,1,2,2,2,1,1,,1,1,1,
N334-11-0,,2,1,4,2,2,1,,,,,1
N401-11-0,,1,1,1,1,4,,2,1,2,,
N403-11-0,2,2,,1,1,3,2,,,1,,1
N802-11-0,,2,2,,3,2,1,1,,,1,1
N840-11-0,,,1,,2,2,1,3,2,,2,
119C-10-0,2,3,3,1,1,,,,,,,2
1760-10-0,2,,2,1,2,2,,,,1,,2
2088-10-0,2,,1,1,2,1,3,,1,1,,
2161-10-0,1,3,,2,,1,1,,2,,2,
2522-10-0,1,1,,,,1,1,1,1,1,4,1
3021-10-0,2,1,,,1,,1,,4,,1,2
414P-10-0,1,1,1,,,2,1,,,3,2,1
5164-21-0,2,1,1,3,2,,,,,,3,
6805-10-0,1,2,,2,3,1,,,,1,2,
6820-31-0,1,1,2,1,,,4,1,1,1,,
709G-10-0,3,1,1,,,2,,3,,1,,1
8043-10-0,1,3,3,,,,1,,1,1,2,
846M-10-0,2,1,,,1,2,2,2,1,,1,
9015-10-0,,2,,2,,3,1,1,,,2,1
9019-10-0,2,1,,2,2,2,,1,1,1,,
978A-10-0,1,1,1,,1,,1,2,2,1,,2
N531-11-0,,2,1,2,2,4,,1,,,,
N735-11-0,,,2,,3,1,1,,3,1,,1
1787-10-0,,,1,2,3,2,,,2,,1,
2728-10-0,1,,1,1,3,1,1,,1,2,,
3001-10-0,,,,,1,,2,3,3,1,1,
4729-10-0,2,1,,2,1,1,,1,,1,1,1
476G-41-0,2,,1,,2,2,1,,1,1,,1
5032-10-0,3,1,1,,1,1,,1,,2,1,
5791-10-0,,1,,1,3,1,3,,,1,,1
6003-10-0,1,,,1,,,,,3,3,1,2
6010-10-0,,3,,1,1,1,,,2,,2,1
637A-22-0,,2,1,2,1,,,3,,2,,
637G-51-0,1,1,1,,2,,1,2,,2,1,
6418-10-0,,2,1,,1,,,3,2,1,1,
675K-23-0,2,3,,,1,1,2,1,,,,1
6835-10-0,1,1,1,1,,1,,2,,2,2,
7006-51-0,,2,1,,,3,3,,,,1,1
7040-10-0,3,,2,,,2,,2,,1,1,
719R-10-0,1,2,1,,,1,1,,1,,3,1
8047-41-0,1,3,2,2,,2,,,,,1,
8060-10-0,,3,1,1,2,1,,1,,,2,
8073-10-0,,3,1,,,1,2,,1,,2,1
8200-10-0,2,2,1,,1,2,1,,1,,,1
8538-10-0,,,,1,2,1,1,1,1,1,2,1
857A-10-0,2,,2,2,2,,1,1,,1,,
9009-10-0,3,,,1,2,1,1,1,,,1,1
9051-10-0,2,,,,,3,1,2,1,,1,1
9789-10-0,2,2,,2,2,1,,1,1,,,
1730-10-0,,,3,3,2,,,1,,1,,
1764-10-0,1,1,,,2,1,,1,1,2,,1
177Y-10-0,1,,1,2,,,1,3,,1,1,
2018-10-0,,,1,,,1,1,,2,1,3,1
208M-10-0,2,1,,2,3,,,,1,1,,
2718-10-0,,,2,,1,1,,1,,2,,3
271M-10-0,2,,4,,2,,,,,1,1,
4028-10-0,1,,1,1,,2,1,1,,1,,2
4721-10-0,,,1,,2,,3,1,,1,,2
5020-10-0,,2,2,2,1,,,1,,1,,1
5123-10-0,1,1,1,,2,,2,2,,,1,
5701-10-0,1,1,2,1,1,2,1,,,,1,
6093-10-0,,2,,,,5,,1,1,1,,
675N-10-0,,1,1,1,1,3,,1,2,,,
6806-10-0,1,2,1,1,1,,1,,,1,1,1
6823-10-0,2,,2,,,,,1,2,2,1,
6826-10-0,,1,2,2,1,,,,1,2,,1
8038-10-0,1,,2,,2,,2,,,1,2,
8062-10-0,1,,1,3,2,1,1,,1,,,
809D-10-0,1,,,1,1,,1,1,2,3,,
8319-10-0,1,,1,,4,,1,,1,,2,
9011-10-0,2,1,,1,,,3,,,1,2,
9047-10-0,1,,2,4,,1,1,1,,,,
938V-10-0,2,2,,2,,2,,,1,,1,
N209-11-0,3,,,,1,1,2,1,,1,,1
N506-11-0,1,,,,2,2,1,,,1,2,1
1012-10-0,,1,2,3,1,1,,1,,,,
1705-10-0,1,2,1,,1,1,,,1,,2,
211V-10-0,,2,,1,,1,,,1,1,1,2
2123-10-0,,,,2,1,,1,2,1,1,1,
2719-10-0,,2,,2,1,1,,,,1,1,1
2721-10-0,1,,2,,,,1,,1,2,2,
2731-10-0,,1,,,1,,1,,2,2,1,1
3024-10-0,4,1,,2,1,,,,1,,,
3574-10-0,,,2,2,2,2,,1,,,,
3737-10-0,,1,,,1,,,1,1,2,2,1
3762-10-0,1,1,2,1,,,2,,,1,1,
3789-10-0,2,1,,,,,,1,2,,2,1
4033-10-0,1,3,1,1,,,1,,,1,,1
4052-10-0,,1,,,1,1,,1,2,1,1,1
407A-10-0,,,,,3,,1,3,,1,,1
407L-10-0,1,1,,1,,2,,,1,3,,
407M-10-0,1,1,1,2,1,,,1,,2,,
425E-10-0,1,2,2,2,1,,,1,,,,
5194-10-0,1,1,,,,4,,1,,1,,1
5702-10-0,,,,1,,,3,1,2,1,,1
5752-10-0,,1,,,1,,1,1,4,1,,
576M-10-0,2,,,1,,,1,1,1,1,,2
6074-10-0,,1,,1,,1,2,,,4,,
6080-10-0,,,,,3,1,1,,1,1,,2
637V-10-0,,1,1,,3,1,1,2,,,,
675G-41-0,2,1,3,,1,1,,1,,,,
6801-10-0,1,2,1,1,1,,1,,1,1,,
6803-10-0,,2,,2,2,,1,1,,,,1
6805-31-0,,,3,2,2,,,,1,,,1
6817-10-0,,,,,2,,2,3,,,1,1
6822-10-0,4,,1,,,,2,,1,1,,
7006-10-0,3,,,1,,1,,,,2,1,1
7017-10-0,,,,,,,3,,2,2,1,1
7050-10-0,3,,,,1,2,2,,,1,,
7060-10-0,,1,,1,,1,,1,,4,,1
7600-10-0,,,2,2,,,2,,1,1,,1
778J-41-0,4,,2,1,,,1,,,,,1
8013-10-0,,1,,1,3,,,,1,1,2,
8078-10-0,3,1,1,1,,1,,1,1,,,
8544-10-0,1,,1,,1,3,,,,,2,1
938P-10-0,,,,,6,1,1,1,,,,
971V-10-0,1,,,2,,1,1,,2,1,1,
N337-11-0,1,1,,,,1,1,2,,,2,1
N631-11-0,,1,,,1,,2,,,4,1,
N634-11-0,3,1,,,3,2,,,,,,
N732-11-0,,,,1,1,,1,1,1,,2,2
N745-11-0,1,2,1,1,,,1,2,,,1,
1721-10-0,,,2,,1,,2,1,,,2,
1780-10-0,,,3,1,1,1,,,1,,,1
2017-10-0,,1,1,,,2,,2,,,2,
2058-10-0,,,,,1,1,1,,2,,3,
2709-10-0,1,1,,,,,1,2,,1,2,
272N-10-0,,1,,1,1,,2,1,,1,1,
3023-10-0,,,,1,1,1,,1,,,2,2
3054-10-0,,,1,1,,,,,2,1,1,2
3459-21-0,,1,,,,,2,1,,,1,3
3729-10-0,1,,1,,,1,1,1,1,,1,1
3778-10-0,,2,2,1,,1,,,1,,,1
3785-10-0,,,1,,1,,,1,1,1,1,2
4735-10-0,,,,2,,1,1,,1,1,1,1
477U-10-0,,1,1,,1,,2,1,,,2,
527R-10-0,,,,,1,,,,1,1,4,1
5391-21-0,,,,,2,4,1,,,,1,
576J-10-0,,,,,1,2,1,1,1,1,,1
6017-10-0,1,1,,2,,1,,,1,1,,1
6115-10-0,1,1,1,,2,1,1,,1,,,
6338-21-0,1,3,,3,,1,,,,,,
695D-10-0,1,,,,,,1,1,,3,1,1
8050-10-0,3,1,,1,2,,,,1,,,
8100-10-0,,1,,,2,,1,1,,,3,
8199-10-0,1,3,1,1,,,1,,1,,,
874C-10-0,1,,,1,1,3,1,1,,,,
9002-10-0,1,1,,2,,1,,,,,2,1
9188-10-0,2,1,,,2,,,,,2,1,
938L-10-0,1,,,,1,1,2,1,1,,1,
948A-10-0,,4,1,,1,,,,,1,,1
N201-11-0,3,,1,1,,,1,,1,1,,
N303-11-0,1,2,1,,,,2,1,,,1,
N407-11-0,,1,1,1,,,,3,,2,,
N532-11-0,,,1,1,,2,,,,3,,1
N834-11-0,,1,,,2,1,1,2,,1,,
N843-11-0,1,,1,,1,,1,,1,2,1,
1036-10-0,1,1,,,,,,2,,,1,2
1785-10-0,1,,1,1,,1,,1,2,,,
1788-10-0,3,,,,1,,1,,,2,,
2105-10-0,,2,1,,1,,1,,1,1,,
2175-10-0,1,2,,,,,,,1,1,1,1
2722-10-0,,,1,1,2,1,,,1,1,,
3003-10-0,1,,,2,,,,1,,1,,2
3134-10-0,,,,,,1,,1,,,2,3
3459-23-0,1,1,,,,,,2,1,1,,1
3459-24-0,,1,1,1,,1,,,1,1,,1
3745-10-0,,,,,,,,2,2,1,1,1
375V-10-0,2,,,1,,1,2,1,,,,
4025-10-0,,1,2,1,2,,,1,,,,
4734-10-0,,,1,1,1,1,,,1,,1,1
5028-10-0,1,1,,1,1,,,,1,,1,1
502J-22-0,1,,2,2,,,1,,,,1,
5030-10-0,,2,1,,1,1,,2,,,,
5091-10-0,1,,,,1,1,2,,,,2,
5164-41-0,1,,,1,,2,,1,,1,1,
524L-10-0,1,1,,,,,2,,1,1,,1
5318-21-0,1,1,1,,1,1,,,,,,2
546T-10-0,,,2,1,,1,1,,,1,,1
5630-21-0,3,,1,,,,,,1,1,,1
574A-10-0,1,,1,1,,1,1,,,2,,
6012-10-0,,2,,1,,,,1,,1,1,1
6028-10-0,,1,,,,,2,1,,2,1,
6815-10-0,2,,1,,,1,,,1,,,2
6816-31-0,2,,1,,,,,3,1,,,
7049-10-0,1,,2,,1,2,,,,1,,
736G-10-0,2,,,1,,,,3,,1,,
736I-10-0,1,,1,1,1,,,2,,,1,
8077-10-0,3,,,2,,,1,,,,1,
809H-10-0,1,2,,,,,1,1,,,2,
8705-51-0,1,1,1,1,,,1,,,,2,
9012-10-0,1,2,,,1,,,,1,1,1,
9717-10-0,1,1,2,1,,,,,,1,1,
N102-11-0,,1,,1,,1,2,,,,1,1
N134-11-0,,1,,1,,,,3,1,1,,
N202-11-0,,,,,2,1,2,,1,1,,
N404-11-0,,1,,,,1,1,,,1,3,
N405-11-0,,,1,1,,2,,,1,2,,
N406-11-0,1,1,,2,1,,1,,,1,,
N535-11-0,1,1,,1,,,3,1,,,,
N734-11-0,,2,1,1,,,,,,2,1,
1177-31-0,1,,,,,1,1,1,1,,,1
118Y-10-0,,,,,1,,,2,2,,,1
1758-10-0,1,,1,1,1,,,,,1,1,
1772-10-0,,,1,,1,2,1,,,1,,
1782-10-0,1,2,2,,1,,,,,,,
2011-10-0,2,1,1,,,,,,,,1,1
2016-10-0,,2,,,1,,2,,,,1,
2019-10-0,1,,,,,1,2,,2,,,
2028-10-0,,,1,1,,1,1,,,1,,1
2104-10-0,,1,1,,1,1,1,,,1,,
2451-10-0,,,,,2,,,,,,2,2
2552-41-0,1,1,1,,2,,,,,,,1
2702-10-0,,1,2,,,,,,,,1,2
2703-10-0,,,1,,,1,1,,,1,1,1
2706-10-0,1,,,1,2,1,1,,,,,
2734-10-0,,,,,,,1,1,,,2,2
2735-10-0,1,,1,,,1,1,,,1,,1
273F-10-0,,,1,,,1,,1,1,,1,1
2768-10-0,,2,,1,1,1,1,,,,,
3004-10-0,,1,,2,,,1,,,,,2
3029-10-0,,,,,,2,,1,,,,3
3063-41-0,,1,,1,,,1,1,1,1,,
3722-10-0,1,,,,,3,,,,,2,
3743-10-0,1,,1,,,,,,1,,1,2
374V-10-0,,,,,,1,1,1,1,,,2
3903-10-0,,,,2,,,,1,,,2,1
4011-10-0,,,1,1,1,1,,,,2,,
407G-10-0,,1,,,,,1,2,,,1,1
4085-10-0,,,3,,,,1,,1,,1,
4286-10-0,1,,2,,,1,1,,,,1,
4312-21-0,1,,,,1,1,,1,,,1,1
5110-24-0,,1,,,1,,,1,1,1,,1
5127-10-0,,,,1,2,,,1,,,,2
5362-21-0,,3,1,,,,,,,2,,
6042-10-0,,,,2,,,1,,1,,1,1
607A-10-0,,,1,,1,,1,,1,1,1,
6451-21-0,,1,1,,2,,,1,,1,,
677V-10-0,,1,1,,,,1,,,1,1,1
677Y-10-0,,,,,2,,,1,1,1,1,
6812-10-0,,2,1,1,,,1,,,,1,
6960-21-0,2,,1,,,,1,,,1,,1
7005-10-0,,,,1,2,,,1,1,1,,
746C-10-0,2,,1,1,,1,,,,,,1
775V-10-0,1,,,1,1,1,,1,,1,,
8007-10-0,,,1,,,,,,,1,3,1
8194-10-0,,1,,1,1,1,1,1,,,,
8300-10-0,,2,,,,1,1,,1,,1,
9005-10-0,2,,3,1,,,,,,,,
9008-10-0,4,,1,,,,1,,,,,
9014-10-0,1,,,,1,1,,,,2,,1
9032-10-0,1,1,,,1,,1,1,,,1,
N133-11-0,,,,1,1,4,,,,,,
N632-11-0,,,,1,1,,2,1,,,1,
N831-11-0,,1,,,1,1,,1,,,1,1
N835-11-0,1,1,,,,,2,1,,,,1
N839-11-0,1,,,,,1,2,,,,2,
119L-10-0,,,,2,,1,2,,,,,
1701-10-0,1,1,1,1,,,1,,,,,
1738-10-0,,,,,,1,,,2,2,,
1742-10-0,1,,,,,,,,1,2,,1
1743-10-0,,,,,1,,1,1,2,,,
1756-10-0,,,,1,1,1,2,,,,,
1775-10-0,1,,,1,,1,,1,,,1,
1783-10-0,,,,,2,2,1,,,,,
2010-10-0,,1,,2,,1,1,,,,,
2013-10-0,,1,2,,,,,,1,1,,
2032-10-0,1,,1,,2,,,1,,,,
2060-10-0,,,,1,,1,1,,,,2,
2101-10-0,1,1,1,,,,1,1,,,,
2101-41-0,,,,,1,1,,,2,1,,
2171-10-0,1,1,1,1,1,,,,,,,
2708-10-0,,1,,,1,1,,,,1,1,
2712-10-0,,,,,,,,1,1,,,3
2723-10-0,1,2,,,,,,,,1,1,
273V-10-0,,,1,,,,1,1,,1,,1
3002-10-0,,,,,,1,1,,1,,,2
3053-10-0,,,,1,,1,,,,1,2,
3064-10-0,,2,,1,2,,,,,,,
3206-10-0,,,,1,,1,,,1,,1,1
3739-10-0,,,,,,,,,2,1,1,1
3787-10-0,1,,,,,1,,2,,1,,
403A-10-0,,,1,,,,1,1,1,1,,
407H-10-0,1,,,1,,1,1,,,,1,
5018-10-0,,,,,,,2,,1,1,1,
5035-10-0,1,,1,,,2,,,1,,,
509J-21-0,1,,,1,,3,,,,,,
5110-21-0,2,,,,1,,,1,1,,,
5128-10-0,1,,,,,,,2,1,,,1
5362-22-0,,1,,,,,,2,,,1,1
575C-10-0,1,,,,,2,,1,,1,,
6016-41-0,,,,1,1,,,2,,1,,
6025-10-0,1,,2,,2,,,,,,,
6034-10-0,2,,,,,,,,1,1,,1
6055-10-0,,,,,,,,,1,1,2,1
6258-10-0,,,1,,,,,2,1,,1,
677A-23-0,2,3,,,,,,,,,,
6816-10-0,,1,,,,,1,,1,,1,1
6835-31-0,,1,,,1,1,,1,,,1,
695Y-21-0,1,1,,,1,1,,,,,1,
7005-51-0,,,1,1,1,,,,1,1,,
7016-21-0,1,,,,,1,1,2,,,,
746R-10-0,,2,,,1,1,,,,1,,
748A-10-0,1,,,1,,,,1,2,,,
775A-10-0,,,3,,1,,,1,,,,
8001-10-0,2,,1,1,,,1,,,,,
8026-10-0,,1,,,3,,,,,,1,
8050-31-0,1,1,1,,1,1,,,,,,
847P-42-0,,,1,1,,1,,,1,,1,
857R-41-0,,1,,,,,,,2,1,1,
8700-21-0,2,1,,,,,,,,1,1,
N104-11-0,1,,,,1,1,,,2,,,
N106-11-0,,,,1,,,,2,1,1,,
N131-11-0,,2,,,2,,,,,1,,
N305-11-0,,,2,,1,,,,,,2,
N335-11-0,,,1,,1,,1,,1,,1,
N336-11-0,1,1,,,,1,,,,,1,1
N536-11-0,,,,1,,1,,,,1,2,
N637-11-0,1,,1,,1,,,1,1,,,
1019-10-0,,,,1,1,,1,,,,1,
139A-10-0,1,1,,,2,,,,,,,
1757-10-0,,,,,,,,1,1,1,,1
1767-10-0,2,,,1,,,1,,,,,
1771-10-0,1,,,,,1,,,1,,1,
1778-10-0,1,,,1,,,1,1,,,,
2005-10-0,,,2,,1,1,,,,,,
2023-10-0,,,,,,,,1,2,1,,
2203-10-0,,,,,,,,,1,2,1,
2435-10-0,,1,1,,1,,,,1,,,
2707-10-0,,,,,,1,,1,,,1,1
2709-31-0,,,,,,,,,1,3,,
2710-10-0,,,,,1,,,1,,1,1,
2717-10-0,,,,,,,2,1,,,1,
271C-10-0,1,,,,,,,2,,1,,
2727-10-0,1,,,,,,,,,,,3
297A-10-0,,,,,,,,2,1,1,,
3031-10-0,,,1,1,,,1,,,,1,
3069-10-0,1,,1,,,,1,,1,,,
3099-10-0,1,,,1,2,,,,,,,
312N-10-0,,,,,,2,1,1,,,,
3686-21-0,,,,,,,,,2,1,,1
3712-10-0,,1,,1,,,,1,,,1,
3721-41-0,1,,,,,1,2,,,,,
3734-10-0,,,1,,,,,1,1,1,,
3742-10-0,,,1,,,,,2,,,,1
3754-10-0,1,,,,1,1,1,,,,,
3766-10-0,1,,,,1,,,1,,,,1
4007-10-0,,,,,,,,1,1,1,1,
4013-10-0,,,,,,,1,1,,,1,1
407I-10-0,,1,1,,1,,1,,,,,
5012-10-0,,,1,,,2,,,,,,1
5015-10-0,,,,,1,1,,,1,,,1
5119-22-0,,1,,,,1,,1,,,1,
6002-10-0,,,,,,,,,,1,1,2
6038-10-0,,1,1,1,,,,,,,,1
6039-10-0,,,,,2,,,,1,,1,
6046-10-0,,2,,,,,,,,1,1,
6047-10-0,,,1,,,,,1,1,1,,
6061-10-0,,,,,1,2,,,,,,1
6078-10-0,,,,,2,,,,,2,,
6091-21-0,2,1,,,,,,,,1,,
6091-51-0,2,,,,1,,,,1,,,
6099-10-0,,,1,,,,,,,2,1,
6118-10-0,,,,,,,,,,1,3,
6120-10-0,,,,,,2,,2,,,,
6258-31-0,,,,,,,1,,,1,2,
6450-21-0,,,2,,1,,,,,1,,
6455-21-0,,1,,,,,,2,,,1,
6726-10-0,1,1,,1,,,,,,,1,
707A-23-0,,,,1,,1,1,,,1,,
771P-10-0,1,,1,1,,,,,1,,,
775N-10-0,1,,,,1,,1,1,,,,
778R-21-0,,,1,,1,,,2,,,,
8003-10-0,3,,,,,,,,1,,,
8065-10-0,3,,,,,,,,,1,,
809J-10-0,1,,2,,,,,,,1,,
809R-10-0,,,,1,2,,,,,,1,
809T-10-0,1,1,,,,,,,1,,,1
9004-10-0,1,,1,,,1,,,,1,,
N101-11-0,,,,3,,,1,,,,,
N136-11-0,,,1,,,,2,,1,,,
N143-11-0,1,,,,1,1,,,,,,1
N236-11-0,,2,,,,,,,2,,,
N342-11-0,,,,,,2,2,,,,,
N538-11-0,,,,,1,,,,,1,2,
N640-11-0,,2,,,1,,,,1,,,
N731-11-0,,,,,,1,,,,,,3
1024-10-0,,1,,,1,,,,,,,1
129F-41-0,1,,,1,1,,,,,,,
1720-21-0,,,,,1,,,1,1,,,
1726-10-0,,,,,1,1,,1,,,,
1745-10-0,,,1,,,,1,1,,,,
1759-10-0,,,,,1,1,,,,,1,
1773-10-0,1,,,,,,,,,2,,
2008-10-0,,1,1,,,,,,,,,1
2026-10-0,1,,,1,1,,,,,,,
2029-10-0,,,1,1,1,,,,,,,
2030-10-0,1,,,,,,1,1,,,,
2201-10-0,,,,,,,1,,,1,,1
2202-10-0,,,,,,,,,1,1,1,
2714-10-0,,,1,1,,,,,,1,,
2715-10-0,,,,,,,,,2,,,1
2720-10-0,1,,,,,,,2,,,,
2722-31-0,2,,1,,,,,,,,,
2730-10-0,1,,1,,,,1,,,,,
2740-10-0,,,,,,,1,,1,,1,
3013-10-0,,,,,,,1,1,,,1,
3020-10-0,,1,,,,1,,,,,,1
3027-10-0,1,,,,,,,,1,1,,
3051-10-0,1,,,,1,1,,,,,,
342C-10-0,,1,,,1,1,,,,,,
342N-10-0,,,,,,1,,1,,1,,
3574-31-0,1,1,,,,,,1,,,,
3741-10-0,,,,,,,,,1,1,,1
3746-31-0,1,1,,,,1,,,,,,
3751-10-0,1,,,,,,,,,,2,
3796-10-0,,,,,,,,,2,1,,
4005-10-0,1,,,2,,,,,,,,
4012-10-0,1,,,,,,,,,2,,
4014-10-0,,,,,1,,1,,,,,1
4024-10-0,,,1,,,1,1,,,,,
407R-10-0,,1,1,,,,1,,,,,
4093-10-0,,,,,,1,,,,,2,
4717-10-0,,1,,,,1,,,1,,,
4724-10-0,,,,,1,,,,1,1,,
509M-21-0,2,,1,,,,,,,,,
5103-21-0,,1,,1,1,,,,,,,
5109-10-0,,,,,,,,1,,1,1,
5145-41-0,,,,,1,,,,,,1,1
546J-10-0,1,1,,,,,,,,1,,
5757-51-0,1,,,,,,,,1,,,1
5759-10-0,,,,,,2,,1,,,,
6008-10-0,,,1,,,,,,,,1,1
6030-10-0,,2,,,,,,,,,,1
6036-10-0,,,,,,,,,,1,,2
6037-10-0,,,,,2,1,,,,,,
6062-51-0,,,,1,,,,,,,,2
6069-10-0,1,,,,,1,1,,,,,
6071-10-0,,,,,,,,,,1,2,
6076-10-0,1,,,2,,,,,,,,
6084-10-0,,,,,1,1,,,,,1,
609J-10-0,1,,,1,,,1,,,,,
6110-10-0,,,,,,,,,,3,,
637A-26-0,,3,,,,,,,,,,
695T-51-0,,,,1,,,,,,1,1,
7545-21-0,,,,,,1,,2,,,,
7725-10-0,,1,,,,1,,,,1,,
8009-10-0,,,,,,2,,,,,,1
8023-10-0,2,,,,,,1,,,,,
8025-10-0,,,1,1,,,,,1,,,
809N-10-0,,2,,,,1,,,,,,
809U-10-0,1,,,,1,,,,,,1,
9090-10-0,,,1,,,1,1,,,,,
971T-10-0,1,1,,,1,,,,,,,
N103-11-0,,,,1,1,,,,,1,,
N105-11-0,,,,,2,,,,,1,,
N132-11-0,,,,1,,,,1,,,1,
N231-11-0,,,,,,,1,1,,1,,
N242-11-0,,,1,,,,1,,,,1,
N245-11-0,1,,,,,,,,,1,1,
N307-11-0,,,,,,1,,,,1,,1
N340-11-0,,,1,,,1,1,,,,,
N434-11-0,,,,1,,,1,,,,1,
N436-11-0,1,,,1,,,1,,,,,
N533-11-0,1,,,1,,,,,,,1,
N539-11-0,1,,,,,,,2,,,,
N540-11-0,2,,,,,,,,1,,,
N639-11-0,,,,,1,,,1,1,,,
N736-11-0,1,,,,1,,1,,,,,
N741-11-0,,,,,,,,,,,3,
N744-11-0,,1,,,,1,,,,1,,
N832-11-0,,,,,,1,,,1,,1,
N836-11-0,1,,,,,,,,1,1,,
N837-11-0,,1,,,,1,,,1,,,
1178-33-0,1,,,1,,,,,,,,
1703-10-0,,2,,,,,,,,,,
172X-10-0,2,,,,,,,,,,,
1741-10-0,,,,,,,,1,1,,,
1765-10-0,,,1,,,,,1,,,,
177H-21-0,,1,,,,,,1,,,,
178Y-21-0,,,1,,,,,,1,,,
2012-10-0,,,,,,1,,1,,,,
2020-10-0,,1,1,,,,,,,,,
2022-10-0,,1,,,,,1,,,,,
2041-10-0,,2,,,,,,,,,,
213E-10-0,,,,,,1,,1,,,,
2463-10-0,,,1,,,,,,1,,,
2678-41-0,,,,,,1,,,,,1,
2713-10-0,,,,,,,1,,,,1,
273R-42-0,,,,,,,2,,,,,
3008-10-0,,,,,,,,,,,1,1
3026-10-0,,,1,,,,,,,,,1
3462-41-0,,,,,,,1,,,1,,
3728-10-0,,,,,,,,,1,,,1
3731-10-0,,,1,,1,,,,,,,
3738-10-0,,,,,,1,,1,,,,
373L-10-0,,,,,,,,,,1,,1
3756-10-0,1,,1,,,,,,,,,
3791-10-0,,,,,,,,1,1,,,
3795-10-0,1,1,,,,,,,,,,
4008-10-0,,,,,,,,,1,,1,
4032-10-0,,1,,,,,,,,,,1
407W-10-0,,,,,,,,2,,,,
5011-10-0,,,,,,,,,,,,2
5024-10-0,,,,,,,,,,,1,1
502J-21-0,,1,,,,,,1,,,,
5110-23-0,,,1,,,1,,,,,,
5318-22-0,,,,,,,,,,,,2
5391-22-0,,,,,,,,,,,,2
546J-31-0,,,,1,,,,,,,,1
573T-31-0,,,,,,,,,1,,1,
5759-31-0,,,,,,,,1,1,,,
6035-10-0,1,,,,,,,,,1,,
6041-10-0,1,,,,1,,,,,,,
6043-10-0,,,,1,,1,,,,,,
6050-10-0,,,,1,,,,,,1,,
6072-10-0,,1,,1,,,,,,,,
6073-10-0,,,,,,,1,,,1,,
6083-10-0,,1,,,,1,,,,,,
6092-10-0,1,,,,,,,,,,,1
609F-21-0,,1,,,,1,,,,,,
6116-10-0,,,1,,,1,,,,,,
6232-10-0,,,,,,,1,1,,,,
6L02-10-0,,,,,,,,1,,,,1
6L11-10-0,,,,,,,,1,,,,1
7011-10-0,,,,,,,,,,1,,1
7055-10-0,,,,,,,1,,,,1,
748A-41-0,,,,,1,,1,,,,,
7710-10-0,2,,,,,,,,,,,
8000-10-0,,,,,,,,,,,,2
8019-10-0,,,1,,,,,,,,,1
8020-10-0,,,1,,,,,,1,,,
809U-21-0,,,,,,,,1,,1,,
8542-21-0,1,,,,1,,,,,,,
8594-41-0,,,,,,1,,1,,,,
8600-22-0,,,,,,1,,,,,1,
9006-10-0,,,,,,1,,,,1,,
9020-10-0,,,,1,1,,,,,,,
9070-10-0,1,1,,,,,,,,,,
917M-31-0,,,,,,,1,,1,,,
938C-21-0,,,1,,,,1,,,,,
971A-10-0,,,,,,,,,1,,1,
9785-10-0,,1,,,,,,1,,,,
N135-11-0,,,,,1,1,,,,,,
N205-11-0,,,,,,2,,,,,,
N232-11-0,1,,,,,,,,,,1,
N241-11-0,,1,,,,,1,,,,,
N344-11-0,,,,,,1,,1,,,,
