route,headway_scheduled,distance,route_type,num_trips_day,capacity
5030-10-0,1076.8421050000004,9.126128460117124,2,73,75
6803-10-0,852.6315789999999,5.79980087877794,2,93,86
1732-10-0,1016.842105,17.69053495215898,2,77,86
7016-10-0,581.052632,11.785083065702821,2,113,86
6042-10-0,493.333333,11.953784916241199,0,97,35
178Y-10-0,363.333333,6.854030779460515,2,153,43
2435-10-0,1136.8421050000004,10.955027791014988,1,64,75
4001-10-0,840.0,12.488059508800085,4,87,81
637G-10-0,934.736842,25.983357302244766,0,73,115
6058-10-0,656.842105,5.716842349312052,2,90,35
2010-10-0,729.4736839999998,14.393759592156512,2,93,86
574A-10-0,953.684211,14.940745829153737,0,100,75
178L-10-0,704.210526,19.6515875516444,0,206,86
807M-10-0,590.5263160000002,17.699070408798995,2,125,55
6063-10-0,334.736842,5.3565034319515545,1,116,75
6030-10-0,549.4736839999998,13.626033371052431,1,141,75
6028-10-0,581.052632,12.344950185058494,1,217,37
3099-10-0,453.333333,8.868001972771989,2,136,54
9717-10-0,1007.368421,17.04141732403002,0,80,35
2182-10-0,634.736842,14.65487872150685,4,112,86
1745-10-0,1057.894737,11.236876573942732,2,73,75
5632-10-0,1190.526316,28.12687013591118,4,71,92
2025-10-0,612.631579,10.619030717501882,2,123,14
2019-10-0,674.1176469999998,11.156363420557376,2,74,35
6046-10-0,660.0,12.062250126596282,0,96,35
9051-10-0,786.666667,7.2092340134800015,2,86,44
6027-10-0,685.263158,13.610778886205404,1,120,42
4311-10-0,473.68421100000006,23.682823255413705,3,142,86
1177-10-0,900.0,23.304194950144744,3,76,86
177H-10-0,1152.631579,25.166911437946407,0,65,86
2020-10-0,1547.368421,8.211144468065234,2,48,35
374M-10-0,767.368421,13.678568420505165,0,92,75
3761-10-0,457.894737,20.981448756606774,2,131,55
9789-10-0,457.894737,12.314367726716988,0,162,35
5106-10-0,1042.105263,23.609778401014154,4,57,94
7055-10-0,606.315789,10.529625379391689,0,137,75
314V-10-0,1054.736842,16.231600340334918,4,65,79
502J-10-0,1023.157895,22.762031860811614,4,78,75
8002-10-0,1831.578947,13.637965530969595,2,44,75
5013-10-0,451.578947,15.023670989959621,2,128,35
273J-10-0,723.157895,23.31540826018205,2,99,75
2766-10-0,521.052632,15.928000008382012,2,137,86
9005-10-0,382.105263,6.440493622046857,2,208,35
3745-10-0,546.315789,15.662315110661176,2,118,37
701U-10-0,966.315789,24.448160780327353,5,74,171
809T-10-0,1894.7368420000007,21.971089864975806,0,39,75
6075-10-0,609.4736839999998,4.879590060745547,1,106,35
6093-10-0,606.315789,18.945390047543942,1,117,74
2582-10-0,941.052632,30.347183463472284,4,75,171
4221-10-0,1563.1578949999996,18.33860655651564,4,47,77
352A-10-0,817.894737,21.45429021007419,0,87,120
5036-10-0,1174.736842,10.530985262276557,2,64,79
4018-10-0,407.368421,12.279936435938533,2,164,86
4024-10-0,618.947368,8.046267256603612,2,133,75
719R-10-0,1386.315789,18.765518630679953,0,67,75
2590-10-0,792.631579,25.49876547967199,4,111,75
8043-10-0,2200.0,14.77331838815843,2,34,75
6823-10-0,1247.368421,7.72622291624454,2,55,86
3791-10-0,457.894737,6.752511170450561,4,154,35
875H-10-0,606.666667,13.141563908217792,0,106,86
1767-10-0,798.947368,8.49597957432422,2,107,75
7062-10-0,508.421053,2.8104303302746394,0,114,35
2127-10-0,748.421053,17.558471938561627,4,86,86
6071-10-0,827.368421,16.055753596159214,2,97,35
2059-10-0,363.157895,9.145444428450258,2,204,75
373T-10-0,637.894737,19.519479636180083,0,136,56
3006-10-0,600.0,3.5393135354429797,2,185,53
1709-10-0,517.894737,8.692819747105245,2,153,39
809P-10-0,457.894737,12.323350494255822,3,167,171
3141-10-0,764.210526,21.204322278609265,3,90,154
509M-10-0,1329.473684,22.671396644810443,5,74,120
4011-10-0,767.368421,9.325722040564594,1,105,75
4708-10-0,1184.210526,8.342724420614282,2,65,86
546J-10-0,631.578947,11.842186859859197,0,76,44
354M-10-0,802.105263,19.877480805042456,0,92,171
172U-10-0,836.842105,24.92639073511886,0,91,75
775P-10-0,1721.052632,19.59980948719497,0,41,86
875P-10-0,983.333333,10.109488484775339,0,81,85
695H-10-0,963.157895,21.271135976497458,0,91,86
476A-10-0,997.894737,23.670460277349587,0,66,100
857C-10-0,947.368421,20.436462384069973,3,84,86
857A-10-0,991.578947,20.5149626938754,3,78,86
9004-10-0,378.947368,3.245098469870547,2,271,35
364A-10-0,748.421053,23.04345662041153,0,126,55
8622-10-0,678.947368,27.583798907223372,4,106,123
709P-10-0,855.789474,14.778823414041064,0,69,86
2031-10-0,770.5263160000002,18.10246892524549,1,88,75
2021-10-0,423.157895,4.396959507974992,2,172,35
3686-10-0,783.157895,29.955847794870046,4,96,120
407G-10-0,426.315789,22.595254542233796,4,167,75
407J-10-0,701.052632,28.176946370911143,2,126,88
6960-10-0,467.368421,15.850511620885422,3,151,194
172X-10-0,360.0,7.663637864933202,0,194,51
3721-10-0,360.0,7.277488618310067,4,190,53
4314-10-0,862.105263,31.66089241123823,4,89,86
574R-10-0,514.736842,15.323422450732117,2,140,75
6001-10-0,963.157895,7.164884075938653,3,79,171
6043-10-0,637.894737,7.903104195055993,0,107,35
675G-10-0,909.473684,24.840444473288716,0,78,96
177Y-10-0,442.105263,6.9936174142019745,0,149,171
2765-10-0,337.894737,13.474002404370488,2,201,86
9012-10-0,1721.052632,9.248743326426208,2,47,75
736G-10-0,827.368421,9.674539109179985,2,92,37
6003-10-0,540.0,6.7580145997074075,3,160,120
2016-10-0,622.105263,8.806447846425494,2,94,35
1018-10-0,625.263158,10.517571907737146,2,123,35
6022-10-0,1089.473684,15.38822471935175,0,58,35
607G-10-0,1240.0,13.448035087147472,0,52,86
574C-10-0,1168.421053,15.888124457175065,2,78,75
1787-10-0,704.210526,7.387204694359827,2,105,35
9785-10-0,527.368421,14.412347054477138,0,130,35
9020-10-0,609.4736839999998,4.189987872402178,2,131,35
875A-10-0,1133.684211,25.131914251000207,0,102,86
407W-10-0,1127.368421,14.51662763575297,4,65,75
5142-10-0,742.105263,22.752862447328784,3,81,120
8300-10-0,893.6842109999999,7.031593029094387,2,70,86
7600-10-0,1433.684211,16.488369948692515,2,50,86
2715-10-0,508.421053,5.6853753329995,2,161,35
3778-10-0,454.736842,12.844985013599963,1,119,37
807J-10-0,1115.294118,14.514738307786436,0,75,75
577T-10-0,824.210526,20.40926914303563,2,74,90
3738-10-0,382.105263,12.775168632011901,4,179,47
2731-10-0,378.947368,7.103017054040527,0,140,43
208V-10-0,685.263158,18.554315266626624,3,126,171
273V-10-0,1831.578947,16.43331846025261,2,52,75
5029-10-0,590.5263160000002,5.7875894041341365,2,141,86
5018-10-0,808.421053,13.53153013751217,2,83,39
3027-10-0,858.947368,20.096535875447262,4,92,35
2007-10-0,372.631579,7.196777630819894,2,182,49
6837-10-0,694.736842,10.642195711347533,2,119,39
2708-10-0,581.052632,8.893975184863633,0,162,40
175P-10-0,710.5263160000002,19.89496688067226,0,74,86
2008-10-0,318.9473680000001,3.363944580514094,2,220,35
6836-10-0,941.052632,9.177784946110874,2,80,86
9023-10-0,457.894737,11.002354471875488,2,153,35
8594-10-0,685.263158,23.165294831581065,4,103,86
2718-10-0,366.315789,9.411825571354402,2,207,55
938L-10-0,625.263158,7.343944644835891,3,129,91
5391-10-0,587.368421,24.851748451926557,3,130,120
5015-10-0,694.736842,10.567428940780111,2,104,38
5290-10-0,918.947368,17.404321157106857,4,91,102
6036-10-0,590.5263160000002,14.1080891390871,0,82,55
2719-10-0,262.105263,9.703363022415544,2,241,55
6074-10-0,615.789474,16.215789248779824,2,120,55
1026-10-0,1051.578947,4.603583491111655,2,76,35
5143-10-0,1253.684211,18.058867930279806,3,64,120
7545-10-0,678.947368,19.118807192096718,4,133,86
6048-10-0,596.842105,10.17487996077227,2,125,171
6052-10-0,492.631579,5.555051125276874,1,103,49
2726-10-0,571.578947,13.175889647600318,2,123,37
3729-10-0,388.421053,13.664940404656056,4,188,37
2711-10-0,691.578947,4.682196722426232,2,130,35
7013-10-0,1061.052632,15.946741521413673,2,76,40
5123-10-0,593.684211,14.349516433813688,2,151,55
1756-10-0,1054.736842,9.404778204747101,2,76,75
2363-10-0,890.5263160000002,16.623421605496194,4,159,106
6034-10-0,524.210526,7.449054214643142,1,117,45
1780-10-0,776.842105,6.943564770720234,2,124,35
8006-10-0,827.368421,12.58632318306815,2,85,75
3160-10-0,511.578947,8.484084290626084,3,179,70
5021-10-0,824.210526,7.059325662099558,2,89,75
6835-10-0,1117.894737,6.825693677731292,2,68,86
1720-10-0,423.157895,15.498931511013987,2,173,43
3795-10-0,821.052632,14.6409662226006,2,96,52
8605-10-0,666.315789,17.495093427039418,3,105,120
6037-10-0,764.210526,12.119421783891593,0,100,55
9191-10-0,363.157895,18.67515636384705,4,184,36
407L-10-0,666.315789,25.316656136486976,2,117,88
2451-10-0,1531.578947,10.60046436035401,1,49,75
2026-10-0,2052.631579,10.200116853632304,2,41,35
1772-10-0,615.789474,10.17588349919005,2,127,75
5701-10-0,673.333333,11.576944202961982,2,116,38
709G-10-0,1364.210526,15.442797154433286,2,56,86
9784-10-0,527.368421,12.252521456587369,2,133,75
6450-10-0,464.210526,20.126231250792458,3,170,196
4017-10-0,735.789474,10.879801156739497,2,101,75
888P-10-0,1064.210526,18.751880905756305,2,80,75
5128-10-0,420.0,16.06472493091432,2,100,55
342C-10-0,950.526316,17.27042899375774,0,76,35
148L-10-0,476.842105,16.36102320610206,0,153,86
847J-10-0,1632.631579,24.41939480455855,2,46,86
6031-10-0,420.0,4.613215785043176,1,178,75
6092-10-0,1278.947368,7.8242359621490545,1,61,75
2029-10-0,763.333333,15.919155003983484,2,87,75
1788-10-0,1035.789474,13.254351716545719,2,77,70
3731-10-0,388.421053,8.66189413655686,4,172,35
675R-10-0,1348.421053,23.30085959569063,0,52,78
172R-10-0,258.94736800000004,13.932947282954043,0,221,57
3734-10-0,290.526316,6.261461328574416,4,240,35
948A-10-0,1300.0,14.574537670002108,0,49,79
6840-10-0,410.526316,13.843985404975582,1,150,171
5144-10-0,1102.105263,22.2662020154173,3,67,117
3029-10-0,454.736842,13.092317746288296,2,167,42
8549-10-0,906.315789,25.066299795577937,4,78,86
374V-10-0,457.894737,5.9245154684062,0,138,47
576M-10-0,985.263158,23.00603310845608,0,80,86
507T-10-0,483.157895,16.253418747566712,1,144,86
5317-10-0,1146.315789,29.311594760785287,4,64,86
778J-10-0,1831.578947,22.906057724670646,0,52,75
5022-10-0,410.0,4.0106315761979765,2,164,35
5141-10-0,1177.894737,20.08799468229382,4,62,81
5757-10-0,505.263158,9.873754866492996,2,115,38
3021-10-0,1389.473684,9.613365163792329,2,41,75
408A-10-0,846.666667,11.176585587209106,5,88,86
