data,hora_utc,temp_hora_celsius,umidade_perc,pressao_hPa,veloc_vento_ms,dir_vento_ms,nebulosidade_decimos,insolacao_h,temp_max_Diaria_h,temp_min_diaria_h,chuva_diaria_mm,
24/01/2017,1800,,,,,,,,,,,
25/01/2017,0000,23.3,85.0,923.9,2.0,32.0,2.0,6.20,28.7,,,
25/01/2017,1200,23.0,80.0,925.6,3.0,32.0,10.0,,,20.3,8.8,
25/01/2017,1800,,,,,,,,,,,
26/01/2017,0000,25.0,71.0,922.4,2.6,30.0,10.0,0.20,25.1,,,
26/01/2017,1200,23.2,80.0,924.5,3.3,32.0,10.0,,,20.9,0.0,
26/01/2017,1800,,,,,,,,,,,
27/01/2017,0000,22.2,85.0,925.0,0.0,0.0,10.0,1.50,25.5,,,
27/01/2017,1200,23.0,83.0,926.7,0.0,0.0,10.0,,,18.1,8.8,
27/01/2017,1800,,,,,,,,,,,
28/01/2017,0000,22.5,86.0,927.4,0.0,0.0,10.0,7.00,25.6,,,
28/01/2017,1200,23.4,83.0,929.3,2.0,32.0,10.0,,,18.2,0.0,
28/01/2017,1800,,,,,,,,,,,
29/01/2017,0000,23.2,92.0,926.5,2.6,32.0,10.0,8.80,32.0,,,
29/01/2017,1200,24.2,79.0,929.8,1.6,14.0,10.0,,,20.3,0.0,
29/01/2017,1800,,,,,,,,,,,
30/01/2017,0000,24.0,75.0,929.8,4.1,14.0,10.0,5.10,29.3,,,
30/01/2017,1200,24.1,76.0,928.6,3.3,14.0,8.0,,,18.6,0.0,
30/01/2017,1800,,,,,,,,,,,
31/01/2017,0000,21.0,87.0,927.5,3.3,14.0,10.0,3.80,29.0,,,
31/01/2017,1200,22.5,84.0,927.9,3.3,14.0,10.0,,,18.7,4.2,
31/01/2017,1800,,,,,,,,,,,
01/02/2017,0000,23.4,79.0,925.6,1.6,14.0,10.0,0.60,27.6,,,
01/02/2017,1200,22.0,82.0,925.2,3.3,14.0,10.0,,,18.6,1.0,
01/02/2017,1800,26.5,61.0,922.9,2.5,32.0,10.0,,,,,
02/02/2017,0000,20.0,95.0,923.2,0.0,0.0,10.0,4.30,27.0,,,
02/02/2017,1200,23.0,74.0,923.1,1.6,14.0,10.0,,,18.6,26.5,
02/02/2017,1800,23.2,79.0,923.7,2.5,14.0,10.0,,,,,
03/02/2017,0000,24.4,71.0,922.1,3.3,14.0,10.0,4.40,29.2,,,
03/02/2017,1200,21.8,78.0,923.9,3.0,14.0,10.0,,,19.6,1.0,
03/02/2017,1800,28.1,60.0,922.0,3.3,32.0,10.0,,,,,
04/02/2017,0000,26.0,66.0,922.3,1.6,32.0,10.0,3.80,28.2,,,
04/02/2017,1200,24.4,72.0,923.8,1.6,32.0,6.0,,,19.2,4.5,
04/02/2017,1800,27.0,67.0,922.0,1.6,32.0,6.0,,,,,
05/02/2017,0000,22.2,98.0,922.7,1.6,32.0,10.0,11.00,31.8,,,
05/02/2017,1200,24.6,71.0,923.5,0.8,32.0,1.0,,,18.8,8.2,
05/02/2017,1800,30.9,47.0,920.7,2.5,5.0,7.0,,,,,
06/02/2017,0000,25.6,79.0,922.3,1.6,36.0,1.0,7.90,30.8,,,
06/02/2017,1200,25.0,66.0,921.1,2.5,32.0,0.0,,,19.5,0.0,
06/02/2017,1800,29.9,48.0,930.1,2.3,32.0,10.0,,,,,
07/02/2017,0000,21.0,90.0,922.3,1.0,32.0,10.0,7.40,28.8,,,
07/02/2017,1200,24.3,72.0,923.0,0.8,5.0,7.0,,,18.3,38.2,
07/02/2017,1800,27.1,65.0,921.6,5.6,23.0,8.0,,,,,
08/02/2017,0000,23.2,81.0,924.0,4.3,14.0,10.0,10.30,28.4,,,
08/02/2017,1200,23.8,76.0,925.2,3.0,32.0,7.0,,,19.7,0.0,
08/02/2017,1800,27.9,68.0,925.8,4.6,14.0,8.0,,,,,
09/02/2017,0000,22.6,76.0,924.6,4.1,14.0,10.0,9.00,27.5,,,
09/02/2017,1200,23.7,58.0,926.4,3.3,9.0,3.0,,,18.1,0.0,
09/02/2017,1800,26.7,54.0,924.5,3.3,18.0,8.0,,,,,
10/02/2017,0000,21.6,76.0,925.3,3.3,14.0,7.0,6.00,29.4,,,
10/02/2017,1200,22.4,73.0,925.7,3.3,9.0,10.0,,,18.6,0.0,
10/02/2017,1800,28.1,52.0,923.5,3.3,9.0,9.0,,,,,
11/02/2017,0000,23.2,78.0,924.8,3.3,14.0,10.0,10.60,31.2,,,
11/02/2017,1200,26.0,65.0,925.0,2.8,36.0,4.0,,,20.4,0.0,
11/02/2017,1800,30.5,44.0,921.7,3.3,32.0,8.0,,,,,
12/02/2017,0000,25.0,75.0,922.7,2.3,5.0,2.0,7.20,31.1,,,
12/02/2017,1200,27.0,60.0,923.3,2.5,9.0,2.0,,,20.9,0.0,
12/02/2017,1800,30.0,47.0,920.6,2.6,9.0,8.0,,,,,
13/02/2017,0000,25.8,66.0,922.0,2.3,18.0,6.0,11.60,31.7,,,
13/02/2017,1200,25.5,65.0,923.9,3.3,14.0,10.0,,,21.7,0.0,
13/02/2017,1800,31.1,44.0,922.7,3.3,14.0,6.0,,,,,
14/02/2017,0000,27.3,62.0,922.7,3.3,14.0,2.0,9.70,32.8,,,
14/02/2017,1200,26.0,61.0,928.3,2.3,5.0,7.0,,,20.7,0.0,
14/02/2017,1800,31.8,39.0,927.0,3.3,27.0,7.0,,,,,
15/02/2017,0000,26.1,64.0,930.0,2.3,9.0,6.0,9.00,31.8,,,
15/02/2017,1200,25.6,69.0,929.9,1.6,14.0,3.0,,,21.3,0.0,
15/02/2017,1800,30.9,44.0,929.1,2.6,18.0,9.0,,,,,
16/02/2017,0000,26.0,66.0,928.8,0.0,0.0,1.0,7.40,31.7,,,
16/02/2017,1200,26.3,59.0,929.6,1.6,36.0,2.0,,,20.6,0.0,
16/02/2017,1800,29.1,63.0,926.1,2.8,18.0,10.0,,,,,
17/02/2017,0000,25.4,62.0,925.9,2.1,14.0,3.0,10.00,33.4,,,
17/02/2017,1200,27.5,59.0,925.2,0.8,27.0,0.0,,,20.3,0.0,
17/02/2017,1800,33.0,38.0,924.4,1.6,27.0,6.0,,,,,
18/02/2017,0000,26.5,55.0,925.4,1.3,36.0,3.0,10.30,34.0,,,
18/02/2017,1200,25.8,53.0,925.9,0.8,32.0,0.0,,,20.2,0.0,
18/02/2017,1800,33.6,35.0,923.7,2.0,36.0,5.0,,,,,
19/02/2017,0000,26.3,41.0,926.9,2.8,18.0,8.0,9.10,34.6,,,
19/02/2017,1200,26.6,64.0,927.9,0.0,0.0,0.0,,,21.8,0.0,
19/02/2017,1800,32.7,44.0,925.7,2.5,14.0,8.0,,,,,
20/02/2017,0000,26.0,64.0,926.2,3.3,14.0,1.0,10.80,33.5,,,
20/02/2017,1200,26.0,76.0,928.8,2.6,14.0,5.0,,,20.7,0.0,
20/02/2017,1800,29.9,59.0,928.3,4.6,14.0,3.0,,,,,
21/02/2017,0000,23.6,74.0,925.6,3.0,18.0,10.0,10.90,31.9,,,
21/02/2017,1200,25.2,66.0,929.5,2.5,5.0,6.0,,,18.9,0.0,
21/02/2017,1800,30.3,83.0,926.3,3.3,18.0,8.0,,,,,
22/02/2017,0000,22.8,78.0,927.0,3.6,14.0,6.0,7.50,32.8,,,
22/02/2017,1200,25.2,67.0,928.0,0.0,0.0,7.0,,,19.6,0.0,
22/02/2017,1800,31.4,33.0,925.2,1.6,14.0,7.0,,,,,
23/02/2017,0000,23.5,73.0,925.2,1.6,14.0,2.0,10.80,33.2,,,
23/02/2017,1200,26.7,58.0,927.0,1.6,36.0,3.0,,,20.8,0.5,
23/02/2017,1800,31.6,40.0,923.4,2.6,36.0,6.0,,,,,
24/02/2017,0000,26.7,60.0,924.1,2.5,18.0,5.0,5.60,29.7,,,
24/02/2017,1200,26.8,61.0,924.8,2.5,18.0,10.0,,,17.8,0.0,
24/02/2017,1800,27.5,65.0,923.5,1.6,18.0,10.0,,,,,
25/02/2017,0000,20.4,86.0,925.0,1.0,18.0,10.0,0.70,24.4,,,
25/02/2017,1200,21.5,78.0,924.4,3.0,32.0,10.0,,,17.8,34.8,
25/02/2017,1800,21.5,83.0,924.1,2.5,32.0,10.0,,,,,
26/02/2017,0000,22.0,81.0,923.7,0.0,0.0,1.0,4.30,27.6,,,
26/02/2017,1200,23.4,71.0,925.5,1.3,27.0,9.0,,,19.5,0.0,
26/02/2017,1800,22.7,84.0,922.8,1.6,36.0,10.0,,,,,
27/02/2017,0000,21.7,88.0,925.2,0.8,18.0,8.0,6.90,29.0,,,
27/02/2017,1200,22.9,75.0,924.4,2.3,32.0,2.0,,,19.0,12.6,
27/02/2017,1800,28.7,52.0,921.9,2.5,32.0,10.0,,,,,
28/02/2017,0000,22.8,82.0,922.2,2.5,32.0,10.0,10.40,30.2,,,
28/02/2017,1200,24.8,66.0,923.0,2.0,36.0,3.0,,,18.2,0.0,
28/02/2017,1800,29.0,52.0,919.6,4.1,36.0,7.0,,,,,
01/03/2017,0000,24.2,73.0,920.0,1.6,5.0,4.0,10.30,30.9,,,
01/03/2017,1200,24.8,63.0,921.3,2.5,14.0,7.0,,,20.7,0.0,
01/03/2017,1800,30.1,45.0,920.9,3.3,14.0,10.0,,,,,
02/03/2017,0000,27.1,72.0,921.6,2.5,23.0,6.0,4.90,28.7,,,
02/03/2017,1200,24.4,72.0,924.3,3.0,36.0,7.0,,,21.4,0.0,
02/03/2017,1800,28.0,57.0,922.6,3.5,27.0,8.0,,,,,
03/03/2017,0000,22.3,84.0,925.3,3.3,18.0,9.0,1.60,27.5,,,
03/03/2017,1200,22.8,84.0,926.4,1.0,32.0,10.0,,,19.5,7.0,
03/03/2017,1800,26.8,66.0,924.0,3.6,5.0,10.0,,,,,
04/03/2017,0000,21.8,90.0,925.2,1.6,9.0,10.0,2.50,29.0,,,
04/03/2017,1200,23.2,82.0,923.9,1.6,32.0,10.0,,,20.3,5.8,
04/03/2017,1800,28.9,60.0,920.1,3.3,32.0,8.0,,,,,
05/03/2017,0000,23.3,77.0,922.1,2.5,36.0,8.0,4.40,29.6,,,
05/03/2017,1200,23.2,84.0,922.0,2.3,32.0,10.0,,,19.8,0.0,
05/03/2017,1800,27.3,66.0,919.8,5.0,32.0,10.0,,,,,
06/03/2017,0000,21.6,95.0,922.4,1.6,36.0,10.0,1.10,27.4,,,
